Ethnicity,Geographical-union Name
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",Empire
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
"Black, non Hispanic",New England
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Capital
Hispanic or Latino,Eastern Pennsylvania
Hispanic or Latino,Eastern Pennsylvania
Hispanic or Latino,Eastern Pennsylvania
Hispanic or Latino,Eastern Pennsylvania
Hispanic or Latino,Eastern Pennsylvania
Hispanic or Latino,Eastern Pennsylvania
