Ethnicity,Geographical-union Name
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
"Black, non Hispanic",Eastern Pennsylvania
